clae,prestadores,edicion,establecimientos,clae6_desc,clae3,clae3_desc,clae2,clae2_desc,letra,letra_desc
551022,1339,previaje 1,s/d,"Servicios de alojamiento en hoteles, hosterías y residenciales similares, excepto por hora, que incluyen servicio de restaurante al público",551,"Servicios de alojamiento, excepto en camping",55,Servicios de alojamiento,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
551023,2926,previaje 1,s/d,"Servicios de alojamiento en hoteles, hosterías y residenciales similares, excepto por hora, que no incluyen servicio de restaurante al público",551,"Servicios de alojamiento, excepto en camping",55,Servicios de alojamiento,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
551090,1822,previaje 1,s/d,"Servicios de hospedaje temporal n.c.p. (Incluye hospedaje en estancias, residencias para estudiantes y albergues juveniles, apartamentos turísticos, etc.)",551,"Servicios de alojamiento, excepto en camping",55,Servicios de alojamiento,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
552000,93,previaje 1,s/d,Servicios de alojamiento en campings (Incluye refugios de montaña),552,Servicios de alojamiento en campings,55,Servicios de alojamiento,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
561011,351,previaje 1,s/d,Servicios de restaurantes y cantinas sin espectáculo,561,Servicios de expendio de comidas y bebidas,56,Servicios de expendio de alimentos y bebidas,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
561012,79,previaje 1,s/d,Servicios de restaurantes y cantinas con espectáculo,561,Servicios de expendio de comidas y bebidas,56,Servicios de expendio de alimentos y bebidas,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
561013,79,previaje 1,s/d,"Servicios de """"fast food"""" y locales de venta de comidas y bebidas al paso (Incluye el expendio de hamburguesas, productos lácteos excepto helados, etc.)",561,Servicios de expendio de comidas y bebidas,56,Servicios de expendio de alimentos y bebidas,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
561014,44,previaje 1,s/d,"Servicios de expendio de bebidas en bares (Incluye: bares, cervecerías, pubs, cafeterías)",561,Servicios de expendio de comidas y bebidas,56,Servicios de expendio de alimentos y bebidas,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
561019,512,previaje 1,s/d,Servicios de expendio de comidas y bebidas en establecimientos con servicio de mesa y/o en mostrador n.c.p.,561,Servicios de expendio de comidas y bebidas,56,Servicios de expendio de alimentos y bebidas,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
561030,61,previaje 1,s/d,Servicio de expendio de helados,561,Servicios de expendio de comidas y bebidas,56,Servicios de expendio de alimentos y bebidas,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
562010,14,previaje 1,s/d,"Servicios de preparación de comidas para empresas y eventos (Incluye el servicio de catering, el suministro de comidas para banquetes, bodas, fiestas y otras celebraciones, comidas para hospital, etc.)",562,Servicios de preparación de comidas para empresas y  servicios de comidas ncp,56,Servicios de expendio de alimentos y bebidas,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
562099,20,previaje 1,s/d,Servicios de comidas n.c.p.,562,Servicios de preparación de comidas para empresas y  servicios de comidas ncp,56,Servicios de expendio de alimentos y bebidas,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
591300,23,previaje 1,s/d,Exhibición de filmes y videocintas,591,Servicios de cinematografía,59,Servicios audiovisuales,J,INFORMACIÓN Y COMUNICACIONES
681010,23,previaje 1,s/d,"Servicios de alquiler y explotación de inmuebles para fiestas, convenciones y otros eventos similares",681,"Servicios inmobiliarios realizados por cuenta propia, con bienes propios o arrendados",68,Servicios inmobiliarios,L,SERVICIOS INMOBILIARIOS
771110,209,previaje 1,s/d,Alquiler de automóviles sin conductor,771,Alquiler de vehículos automotores y equipo de transporte sin conductor ni operarios,77,Alquiler y leasing,N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
771190,20,previaje 1,s/d,"Alquiler de vehículos automotores n.c.p., sin conductor ni operarios (Incluye: camiones, remolques, etc.)",771,Alquiler de vehículos automotores y equipo de transporte sin conductor ni operarios,77,Alquiler y leasing,N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
771210,2,previaje 1,s/d,"Alquiler de equipo de transporte para vía acuática, sin operarios ni tripulación",771,Alquiler de vehículos automotores y equipo de transporte sin conductor ni operarios,77,Alquiler y leasing,N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
771290,18,previaje 1,s/d,"Alquiler de equipo de transporte n.c.p. sin conductor ni operarios (Incluye: equipo ferroviario, motocicletas)",771,Alquiler de vehículos automotores y equipo de transporte sin conductor ni operarios,77,Alquiler y leasing,N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
772099,23,previaje 1,s/d,Alquiler de efectos personales y enseres domésticos n.c.p. (Incluye alquiler de artículos deportivos),772,Alquiler de efectos personales y enseres domésticos,77,Alquiler y leasing,N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
791100,3524,previaje 1,s/d,Servicios minoristas de agencias de viajes,791,Servicios de agencias de viaje y otras actividades complementarias de apoyo turístico,79,"Agencias de viajes, servicios de reservas y actividades conexas",N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
791901,231,previaje 1,s/d,Servicios de turismo aventura,791,Servicios de agencias de viaje y otras actividades complementarias de apoyo turístico,79,"Agencias de viajes, servicios de reservas y actividades conexas",N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
791909,342,previaje 1,s/d,Servicios complementarios de apoyo turístico n.c.p.,791,Servicios de agencias de viaje y otras actividades complementarias de apoyo turístico,79,"Agencias de viajes, servicios de reservas y actividades conexas",N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
823000,14,previaje 1,s/d,"Servicios de organización de convenciones y exposiciones comerciales, excepto culturales y deportivos",823,"Servicios de organización de convenciones y exposiciones comerciales, excepto culturales y deportivos",82,Actividades administrativas de oficinas y empresas,N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
900011,18,previaje 1,s/d,Producción de espectáculos teatrales y musicales,900,Servicios artísticos y de espectáculos,90,Servicios artísticos y de espectáculos,R,"SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO"
900021,2,previaje 1,s/d,"Composición y representación de obras teatrales, musicales y artísticas (Incluye a compositores, actores, músicos, conferencistas, pintores, artistas plásticos etc.)",900,Servicios artísticos y de espectáculos,90,Servicios artísticos y de espectáculos,R,"SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO"
900030,11,previaje 1,s/d,"Servicios conexos a la producción de espectáculos teatrales y musicales  (Incluye diseño y manejo de escenografía, montaje de iluminación y sonido, etc.)",900,Servicios artísticos y de espectáculos,90,Servicios artísticos y de espectáculos,R,"SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO"
900040,1,previaje 1,s/d,Servicios de agencias de ventas de entradas,900,Servicios artísticos y de espectáculos,90,Servicios artísticos y de espectáculos,R,"SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO"
900091,5,previaje 1,s/d,"Servicios de espectáculos artísticos n.c.p. (Incluye espectáculos circenses, de títeres, mimos, etc.)",900,Servicios artísticos y de espectáculos,90,Servicios artísticos y de espectáculos,R,"SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO"
910200,10,previaje 1,s/d,Servicios de museos y preservación de lugares y edificios históricos,910,"Servicios de bibliotecas, archivos y museos y  servicios culturales ncp",91,"Servicios de bibliotecas, archivos y museos y  servicios culturales n.c.p.",R,"SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO"
910300,3,previaje 1,s/d,"Servicios de jardines botánicos, zoológicos y de parques nacionales",910,"Servicios de bibliotecas, archivos y museos y  servicios culturales ncp",91,"Servicios de bibliotecas, archivos y museos y  servicios culturales n.c.p.",R,"SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO"
