fecha,operaciones,monto
2021-06-24,1164,3504798.77
2021-06-25,1437,3643150.08
2021-06-26,1562,3949129.41
2021-06-27,1167,2940782.2
2021-06-28,975,2952193.72
2021-06-29,870,2918027.81
2021-06-30,892,2403174.14
2021-07-01,945,3531345.96
2021-07-02,1179,4020151.91
2021-07-03,1459,3829814.16
2021-07-04,1132,3201133.84
2021-07-05,818,2726957.7
2021-07-06,901,2678189.11
2021-07-07,886,2615517.74
2021-07-08,1345,4771922.32
2021-07-09,1696,5526435.75
2021-07-10,1773,5599441.06
2021-07-11,1567,6551151.24
2021-07-12,1331,5758408.2
2021-07-13,1282,5739120.82
2021-07-14,1299,5621373.47
2021-07-15,1397,6059088.96
2021-07-16,1701,7760760.86
2021-07-17,1977,7668381.12
2021-07-18,1778,7485638.43
2021-07-19,1882,7827938.88
2021-07-20,1860,7478227.89
2021-07-21,1871,7237127.32
2021-07-22,2173,8200424.84
2021-07-23,2346,9038865.86
2021-07-24,2452,9607005.48
2021-07-25,2140,8635987.96
2021-07-26,1932,8181027.24
2021-07-27,1889,7079631.86
2021-07-28,1820,7410523.68
2021-07-29,1733,6813067.59
2021-07-30,1931,6299691.77
2021-07-31,1992,7337897.18
2021-08-01,1462,5730267.67
2021-08-02,1319,6051852.04
2021-08-03,1170,5101774.19
2021-08-04,1244,5459452.01
2021-08-05,1352,5100128.56
2021-08-06,1716,6605838.2
2021-08-07,2046,7234038.27
2021-08-08,1446,5966455.31
2021-08-09,1350,5454576.24
2021-08-10,1236,4878157.3
2021-08-11,1299,5092023.41
2021-08-12,1351,5511675.38
2021-08-13,1855,7100171.62
2021-08-14,2383,8982102.85
2021-08-15,2221,8448294.22
2021-08-16,1876,7246733.7
2021-08-17,1378,6312608.68
2021-08-18,1324,6166238.77
2021-08-19,1387,6676250.27
2021-08-20,1632,6969218.69
2021-08-21,1870,7206971.29
2021-08-22,1777,6963166.31
2021-08-23,1333,6169726.08
2021-08-24,1214,6155416.95
2021-08-25,1394,6969893.48
2021-08-26,1373,6651866.04
2021-08-27,1743,7879704.78
2021-08-28,1986,7940846.29
2021-08-29,1570,6011669.84
2021-08-30,1396,7218142.62
2021-08-31,1290,6133518.17
2021-09-01,1196,6531078.01
2021-09-02,1298,6199756.03
2021-09-03,1775,8495129.71
2021-09-04,2118,8441124.56
2021-09-05,1829,7445576.21
2021-09-06,1526,6841040.31
2021-09-07,1414,6420428.32
2021-09-08,1451,7067064.26
2021-09-09,1517,6670146.57
2021-09-10,1717,6942191.5
2021-09-11,1981,8320384.19999999
2021-09-12,1486,5020547.03
2021-09-13,1448,7359670.05
2021-09-14,1396,6819738
2021-09-15,1572,7766379.28
2021-09-16,1693,7978919.3
2021-09-17,1985,8639183.35
2021-09-18,2288,8887091.71
2021-09-19,1862,8125006.38
2021-09-20,1743,8867842.17
2021-09-21,1680,7777291.04
2021-09-22,1536,6813162.3
2021-09-23,1647,8324995.52
2021-09-24,2058,9396524.13
2021-09-25,2167,8273786.75
2021-09-26,1688,6858489.36
